,,Item,,Description,,Type,,Cost,,Price,,Sales Tax Code,,Purchase Tax Code,,Quantity On Hand,,Quantity On Sales Order,,Reorder Pt (Min),,Quantity On Purchase Order,,U/M Set,,U/M,,Preferred Vendor
,,3MD-1981SF,,3M ESPE SOF-LEX POP-ON POLISHING DISCS 3/8' SUPERFINE,,Inventory Part,,15.95,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-1982C,,3M ESPE SOF-LEX POP-ON POLISHING DISCS 1/2' COARSE,,Inventory Part,,15.93,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-1982F,,3M ESPE SOF-LEX POP-ON POLISHING DISCS 1/2' FINE,,Inventory Part,,19.95,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-1982M,,3M ESPE SOF-LEX POP-ON POLISHING DISCS 1/2' MEDIUM,,Inventory Part,,18.54,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-1982SF,,3M ESPE SOF-LEX POP-ON POLISHING DISCS 1/2' SUPERFINE,,Inventory Part,,15.95,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-1983RA,,3M ESPE SOF-LEX POP-ON MANDRELS 1983,,Inventory Part,,14.67,,0.26,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-2000F,,3M ESPE MASKS EARLOOP (50/BOX),,Inventory Part,,0.00,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-2380,,3M ESPE SOF-LEX POP-ON POLISHING DISCS KIT,,Inventory Part,,55.79,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-2381C,,3M ESPE SOF-LEX POP-ON POLISHING DISCS 3/8' COARSE,,Inventory Part,,18.54,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-2381F,,3M ESPE SOF-LEX POP-ON POLISHING DISCS 3/8' FINE,,Inventory Part,,15.93,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-2381M,,3M ESPE SOF-LEX POP-ON POLISHING DISCS 3/8' MEDIUM,,Inventory Part,,15.88,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-2381SF,,3M ESPE SOF-LEX POP-ON POLISHING DISCS 3/8' SUPERFINE,,Inventory Part,,15.95,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-2382C,,3M ESPE SOF-LEX POP-ON POLISHING DISCS 1/2' COARSE,,Inventory Part,,15.88,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-2382F,,3M ESPE SOF-LEX POP-ON POLISHING DISCS 1/2' FINE,,Inventory Part,,15.94,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-2382M,,3M ESPE SOF-LEX POP-ON POLISHING DISCS 1/2' MEDIUM,,Inventory Part,,18.54,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-2382SF,,3M ESPE SOF-LEX POP-ON POLISHING DISCS 1/2' SUPERFINE,,Inventory Part,,18.54,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-30103(E),,3M ESPE PERMADYNE PENTA H,,Inventory Part,,187.65,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-30413(E),,3M ESPE PERMADYNE GARANT 2:1 LIGHT BODY,,Inventory Part,,104.90,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-30600,,3M ESPE IMPREGUM POLYETHER ADHESIVE,,Inventory Part,,13.50,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-31642(E),,3M ESPE IMPREGUM PENTA STANDARD DOUBLE PACK,,Inventory Part,,154.79,,1.09,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-31712(E),,3M ESPE IMPREGUM F DOUBLE PACK,,Inventory Part,,67.00,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-31731-B,,3M ESPE IMPREGUM PENTA SOFT DOUBLE PACK,,Inventory Part,,154.79,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-31752(E),,3M ESPE IMPREGUM SOFT LIGHT BODY REFILL 4 X 50ML,,Inventory Part,,76.60,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-31765(E),,3M ESPE IMPREGUM PENTA SOFT QUICK STEP MEDIUM,,Inventory Part,,156.62,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-3505(E),,3M ESPE RELY X LUTING CEMENT PACKAGE,,Inventory Part,,43.18,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-3505(E)#,,DAMAGED 3M ESPE RELY X LUTING CEMENT PACKAGE,,Inventory Part,,0.00,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-3505L,,3M ESPE RELY X LUTING LIQUID,,Inventory Part,,0.00,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-3505P,,3M ESPE RELY X LUTING POWDER,,Inventory Part,,0.00,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-3525,,3M ESPE RELY X LUTING PLUS CEMENT,,Inventory Part,,64.88,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-3525(E),,3M ESPE RELY X LUTING PLUS CEMENT,,Inventory Part,,75.24,,5.24,,Non,,Non,,0.00,,5.00,,,,0.00,,ea,,each (ea),,
,,3MD-3525(TE),,3M ESPE RELY X LUTING PLUS CEMENT TRIAL KIT,,Inventory Part,,35.00,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-3525TK,,3M ESPE RELY X LUTING PLUS CEMENT TRIAL KIT,,Inventory Part,,35.00,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-3535(E),,3M ESPE RELY X LUTING PLUS CEMENT VALUE PACK 3 - 8.5GM,,Inventory Part,,0.00,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-37010,,3M ESPE KETAC-SILVER APLICAP STANDARD PACK (50/PK),,Inventory Part,,85.72,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-37231(E),,3M ESPE KETAC CEMENT TRIPLE PACK,,Inventory Part,,86.87,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-38216,,3M ESPE DURELON TRIPLE LIQUID 40ML,,Inventory Part,,12.31,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-38236,,3M ESPE DURELON TRIPLE SIZE POWDER (3X20gm),,Inventory Part,,23.49,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-38265,,3M ESPE DURELON CD TRIPLE LIQUID 12 SYRINGES 40ML,,Inventory Part,,38.49,,0.68,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-41258,,3M ESPE SCOTCHBOND UNIVERSAL ADHESIVE,,Inventory Part,,64.23,,0.00,,Non,,Non,,0.00,,0.00,,,,2.00,,ea,,each (ea),,
,,3MD-41258(E),,3M ESPE SCOTCHBOND UNIVERSAL ADHESIVE,,Inventory Part,,30.00,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-41263,,3M ESPE SCOTCHBOND UNIVERSAL ETCHANT ETCHING GEL,,Inventory Part,,27.31,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-41926,,3M ESPE ADPER PROMPT L-POP SELF ETCH ADHESIVE GIANT PACK (100),,Inventory Part,,83.02,,0.00,,Non,,Non,,0.00,,3.00,,,,0.00,,ea,,each (ea),,
,,3MD-44130,,3M ESPE CAVIT W MEDIUM SET JAR 28gr,,Inventory Part,,5.07,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-44313,,3M ESPE CAVIT G,,Inventory Part,,5.31,,0.29,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-46954,,3M ESPE PROTEMP 4 A1,,Inventory Part,,54.87,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-46956,,3M ESPE PROTEMP 4 A2,,Inventory Part,,53.87,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-46957,,3M ESPE PROTEMP 4 A3,,Inventory Part,,52.39,,0.02,,Non,,Non,,0.00,,5.00,,,,0.00,,ea,,each (ea),,
,,3MD-4720A3(E),,3M ESPE FILTEK P60 SYRINGE A3,,Inventory Part,,15.20,,0.20,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-4720B2(E),,3M ESPE FILTEK P60 SYRINGE B2,,Inventory Part,,15.17,,0.05,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-4720C2(E),,3M ESPE FILTEK P60 SYRINGE C2,,Inventory Part,,15.32,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-4862A2(E),,3M ESPE FILTEK BULK FILL SYRINGE A2 2G,,Inventory Part,,33.21,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-4864A2,,3M ESPE FILTEK BULK FILL CAPSULES A2 20/PK,,Inventory Part,,45.18,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-51102(E),,3M ESPE ADPER SINGLEBOND 2 6ml.,,Inventory Part,,24.28,,0.09,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-56061(E),,3M ESPE KETAC-CEM CEMENT APLICAP REFILL 50/BX,,Inventory Part,,68.36,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-56660,,3M ESPE RELY X TEMP NE,,Inventory Part,,14.86,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-56816,,3M ESPE RELY X UNICEM APLICAP REFILL TRANSLUCENT (50/BX),,Inventory Part,,198.99,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-56818,,3M ESPE RELY X UNICEM APLICAP REFILL A2 UNIVERSAL (50/BX),,Inventory Part,,193.66,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-56819,,3M ESPE RELY X UNICEM APLICAP REFILL A1 UNIVERSAL (50/BX),,Inventory Part,,85.17,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-56846,,3M ESPE RELY X UNICEM 2 AUTOMIX  REFILL UNIVERSAL A2 8.5G,,Inventory Part,,75.55,,0.00,,Non,,Non,,0.00,,1.00,,,,0.00,,ea,,each (ea),,
,,3MD-56848,,3M ESPE RELY X UNICEM 2 AUTOMIX  REFILL TRANSLUCENT 8.5G,,Inventory Part,,75.55,,0.00,,Non,,Non,,0.00,,8.00,,,,0.00,,ea,,each (ea),,
,,3MD-56849,,3M ESPE RELY X UNICEM 2 AUTOMIX VALUE PACK UNIVERSAL A2 8.5G,,Inventory Part,,174.16,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-56861,,3M ESPE RELY X FIBER POST REFILL SIZE 1,,Inventory Part,,84.04,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-56872,,3M ESPE RELY X FIBER POST REFILL SIZE 0,,Inventory Part,,80.91,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-56877,,3M ESPE RELY X U200 TRANSLUCENT CLICKER,,Inventory Part,,41.29,,2.11,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-56878,,3M ESPE RELY X U200 A2 UNIVERSAL CLICKER,,Inventory Part,,39.19,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-56890,,3M ESPE RELY X ULTIMATE ADHESIVE CEMENT TRANSLUCENT 8.5 G,,Inventory Part,,111.01,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-56941(E),,3M ESPE RETRACTION CAPSULE REFILL 25/PK,,Inventory Part,,42.76,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-5904A1(E),,3M ESPE Z100 SYRINGE A1,,Inventory Part,,10.76,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-5904A2(E),,3M ESPE Z100 SYRINGE A2,,Inventory Part,,10.38,,0.01,,Non,,Non,,0.00,,8.00,,,,0.00,,ea,,each (ea),,
,,3MD-5904A3(E),,3M ESPE Z100 SYRINGE A3,,Inventory Part,,10.38,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-5904A3.5(E),,3M ESPE Z100 SYRINGE A3.5,,Inventory Part,,10.38,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-5904B2(E),,3M ESPE Z100 SYRINGE B2,,Inventory Part,,15.48,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-5904UD(E),,3M ESPE Z100 SYRINGE UD,,Inventory Part,,12.26,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-5905A1,,3M ESPE Z100 RESTORATIVE CAPSULE A1,,Inventory Part,,27.93,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-5905A2,,3M ESPE Z100 RESTORATIVE CAPSULE A2,,Inventory Part,,27.98,,0.05,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-5905A3,,3M ESPE Z100 RESTORATIVE CAPSULE A3,,Inventory Part,,27.98,,0.02,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-5905A3.5,,3M ESPE Z100 RESTORATIVE CAPSULE A3.5,,Inventory Part,,27.98,,0.01,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-5905B2,,3M ESPE Z100 RESTORATIVE CAPSULE B2 (9/BX),,Inventory Part,,23.85,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-5905B3,,3M ESPE Z100 RESTORATIVE CAPSULE B3 (9/BX),,Inventory Part,,1.00,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-5907P,,3M ESPE Z100 RESTORATIVE CAPSULE PEDO,,Inventory Part,,12.79,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-6020A1(E),,3M ESPE FILTEK Z250 SYRINGE A1,,Inventory Part,,14.17,,0.06,,Non,,Non,,0.00,,10.00,,,,0.00,,ea,,each (ea),,
,,3MD-6020A2,,3M ESPE FILTEK Z250 SYRINGE REFILL A2,,Inventory Part,,40.25,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-6020A2(E),,3M ESPE FILTEK Z250 SYRINGE A2,,Inventory Part,,14.17,,0.06,,Non,,Non,,0.00,,1.00,,,,0.00,,ea,,each (ea),,
,,3MD-6020A3,,3M ESPE FILTEK Z250 SYRINGE REFILL A3,,Inventory Part,,20.41,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-6020A3(E),,3M ESPE FILTEK Z250 SYRINGE A3,,Inventory Part,,14.17,,0.17,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-6020A3.5(E),,3M ESPE FILTEK Z250 SYRINGE A3.5,,Inventory Part,,14.17,,0.08,,Non,,Non,,0.00,,3.00,,,,0.00,,ea,,each (ea),,
,,3MD-6020A4,,3M ESPE FILTEK Z250 SYRINGE REFILL A4,,Inventory Part,,23.37,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-6020A4(E),,3M ESPE FILTEK Z250 SYRINGE A4,,Inventory Part,,14.17,,0.00,,Non,,Non,,0.00,,1.00,,,,0.00,,ea,,each (ea),,
,,3MD-6020B1(E),,3M ESPE FILTEK Z250 SYRINGE B1,,Inventory Part,,14.19,,0.19,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-6020B2(E),,3M ESPE FILTEK Z250 SYRINGE B2,,Inventory Part,,14.00,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-6020C2,,3M ESPE FILTEK Z250 SYRINGE REFILL C2,,Inventory Part,,23.37,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-6020UD(E),,3M ESPE FILTEK Z250 SYRINGE UD,,Inventory Part,,14.08,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-6021A1,,3M ESPE FILTEK Z250 CAPSULE REFILL A1 (20/BX),,Inventory Part,,40.25,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-6021A2,,3M ESPE FILTEK Z250 CAPSULE REFILL A2 (20/BX),,Inventory Part,,40.25,,0.00,,Non,,Non,,0.00,,35.00,,,,0.00,,ea,,each (ea),,
,,3MD-6021A3,,3M ESPE FILTEK Z250 CAPSULE REFILL A3 (20/BX),,Inventory Part,,40.25,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-6021A3.5,,3M ESPE FILTEK Z250 CAPSULE REFILL A3.5 (20/BX),,Inventory Part,,40.25,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-6021A4,,3M ESPE FILTEK Z250 CAPSULE REFILL A4 (20/BX),,Inventory Part,,35.47,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-6021B1,,3M ESPE FILTEK Z250 CAPSULE REFILL B1 (20/BX),,Inventory Part,,35.47,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-6021B2,,3M ESPE FILTEK Z250 CAPSULE REFILL B2 (20/BX),,Inventory Part,,36.76,,0.38,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-6021C2,,3M ESPE FILTEK Z250 CAPSULE REFILL C2 (20/BX),,Inventory Part,,36.75,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-6021D3,,3M ESPE FILTEK Z250 CAPSULE REFILL D3 (20/BX),,Inventory Part,,36.75,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-6028A1B(E),,3M ESPE FILTEK Z350 XT SYRING A1 BODY,,Inventory Part,,18.64,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-6028A2B(E),,3M ESPE FILTEK SUPREME SYRINGE A2 BODY,,Inventory Part,,18.64,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-6028A3B(E),,3M ESPE FILTEK Z350 XT SYRINGE A3 BODY,,Inventory Part,,18.64,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-6029A1B(E),,3M ESPE Z350 FILTEK SUPREME CAPSULE A1 BODY (20X.20GM,,Inventory Part,,0.00,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-6029A1B(EU),,3M ESPE FILTEK SUPREME CAPSULE A1 BODY (20X.20GM),,Inventory Part,,46.01,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-6029A2B(E),,3M ESPE Z350 FILTEK SUPREME CAPSULE A2 BODY (20X.20GM),,Inventory Part,,36.75,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-6029A2B(EU),,3M ESPE FILTEK SUPREME CAPSULE A2 BODY (20X.20GM),,Inventory Part,,46.01,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-6029A3.5B(E),,3M ESPE FILTEK SUPREME CAPSULE A3.5 BODY (20X.20GM),,Inventory Part,,0.00,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-6029A3.5B(EU),,3M ESPE FILTEK SUPREME CAPSULE A3.5 BODY (20X.20GM),,Inventory Part,,0.00,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-6029A3B(E),,3M ESPE FILTEK SUPREME CAPSULE A3 BODY (20X.20GM),,Inventory Part,,0.00,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-6029A3B(EU),,3M ESPE FILTEK SUPREME CAPSULE A3 BODY (20X.20GM),,Inventory Part,,46.01,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-6029A4B(E),,3M ESPE FILTEK SUPREME CAPSULE A4 BODY (20X.20GM),,Inventory Part,,0.00,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-6029B1B(E),,3M ESPE FILTEK SUPREME CAPSULE B1 BODY (20X.20GM),,Inventory Part,,0.00,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-6032A1(EU),,3M ESPE FILTEK SUPREME ULTRA FLOW SYRINGE A1 2/BX,,Inventory Part,,44.47,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-6032A2(EU),,3M ESPE FILTEK SUPREME ULTRA FLOW SYRINGE A2 2/BX,,Inventory Part,,42.82,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-6LL4,,3M ESPE TEMP CROWN FORMS NI-CHRO (5/BX),,Inventory Part,,10.23,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-6LL5,,3M ESPE TEMP CROWN FORMS NI-CHRO (5/BX),,Inventory Part,,10.06,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-6LR5,,3M ESPE TEMP CROWN FORMS NI-CHRO (5/BX),,Inventory Part,,10.23,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-6UL2,,3M ESPE TEMP CROWN FORMS NI-CHRO (5/BX),,Inventory Part,,10.23,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-6UL3,,3M ESPE TEMP CROWN FORMS NI-CHRO (5/BX),,Inventory Part,,10.07,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-6UR4,,3M ESPE TEMP CROWN FORMS NI-CHRO (5/BX),,Inventory Part,,10.78,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-6UR7,,3M ESPE TEMP CROWN FORMS NI-CHRO (5/BX),,Inventory Part,,10.06,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-712-034,,3M ESPE TRANSBOND XT ADHESIVE PRIMER,,Inventory Part,,0.00,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-712-035,,3M ESPE TRANSBOND XT SYRINGE  KIT,,Inventory Part,,40.54,,0.23,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-712-036,,3M ESPE TRANSBOND XT ADHESIVE SYRINGE 4/PK,,Inventory Part,,42.57,,8.64,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,3MD-71210,,3M ESPE IMPREGUM PENTA ELASTOMER SYRINGE,,Inventory Part,,37.34,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-71225,,3M ESPE IMPREGUM SYRINGE TIPS INTRAORAL(12/PK),,Inventory Part,,10.49,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-71512,,3M ESPE IMPREGUM PENTA MIXING TIPS RED (50/BX),,Inventory Part,,31.58,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-71521,,3M ESPE IMPRINT 4 PRELIMINARY PENTA 360ML 2/PK,,Inventory Part,,60.00,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,3MD-71522,,3M ESPE IMPRINT 4 PRELIMINARY PENTA SUPER QUICK 2/PK,,Inventory Part,,52.95,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
