date,time,type,group-sku,sku,description,quantity,order city,order state,order postal,product sales,selling fees,fba fees,landing cost
2019-01-02,2:05:06 PM PST,Refund,,LUX-NEO320B,Luxe Bidet Neo 320 (Elite Series) - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Va,1,Winnipeg,MB,R3W 1N9,-69.85,8.38,0,27.4
2019-01-02,2:11:05 PM PST,Order,,PRK-03-08,2 X Aquasonic CLEAR Ultrasound Transmission Gel Doppler Tens (0.25 ltr) (Pack of 2),1,Westphal,Nova Scotia,B2Z 1B4,13.35,-2,-6.11,1.72
2019-01-02,2:14:29 PM PST,Order,,PRK-01-08,2 X Aquasonic 100 Ultrasound Transmission Gel Doppler Tens (0.25 ltr) (Pack of 2),2,Toronto,ON,M4M 2W1,27.4,-4.12,-12.22,3.32
2019-01-02,2:16:10 PM PST,Order,MOL-295300,MOL-295300,"Mepilex Border Self-Adhesive Foam Dressings 4""x4"", Box of 5",5,Toronto,Ontario,M4E2Z3,160,-24,-28.77,51.6
2019-01-02,2:16:36 PM PST,Order,,LUX-NEO185B,Luxe Bidet Neo 185 (Elite Series) - Self Cleaning Dual Nozzle - Fresh Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Valves an,2,Nepean,Ontario,K2H 7E5,99.9,-14.98,-13.65,48.06
2019-01-02,2:17:28 PM PST,Order,,OMR-BP742N,Omron BP742N 5 Series Upper Arm Blood Pressure Monitor with Cuff that fits Standard and Large Arms,1,Markham,Ontario,L6B 0S6,67.9,-10.19,-6.11,29.15
2019-01-02,2:18:57 PM PST,Order,,PRK-03-08,2 X Aquasonic CLEAR Ultrasound Transmission Gel Doppler Tens (0.25 ltr) (Pack of 2),1,Thornhill,Ontario,L3T 5A4,13.35,-2,-6.11,1.72
2019-01-02,2:24:15 PM PST,Order,,LUX-NEO185B,Luxe Bidet Neo 185 (Elite Series) - Self Cleaning Dual Nozzle - Fresh Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Valves an,2,Sault Ste. Marie,Ontario,P6A 2M6,99.9,-14.98,-13.65,48.06
2019-01-02,2:27:43 PM PST,Order,,3MM-1527-1-12 (2),3M 1527-1 Transpore Tape (Pack of 12),1,Massey,Ontario,P0P 1P0,17.5,-2.1,-6.11,
2019-01-02,2:28:35 PM PST,Order,,PRK-03-08,2 X Aquasonic CLEAR Ultrasound Transmission Gel Doppler Tens (0.25 ltr) (Pack of 2),1,Laval,Quebec,H7G 3C9,13.35,-2,-6.11,1.72
2019-01-02,2:28:39 PM PST,Order,,OMR-BP742N,Omron BP742N 5 Series Upper Arm Blood Pressure Monitor with Cuff that fits Standard and Large Arms,1,Toronto,Ontario,M4T 1R1,67.9,-10.19,-6.11,29.15
2019-01-02,2:29:01 PM PST,Order,,LUX-NEO110B,Luxe Bidet Neo 110 - Fresh Water Non-Electric Mechanical Bidet Toilet Seat Attachment (blue and white),1,Coquitlam,BC,V3E 1K7,33.95,-5.09,-7.35,14.65
2019-01-02,2:30:52 PM PST,Order,3MM-1624W,3MM-1624W,"3M Health Care 1624W Tegaderm Film Dressing, Frame Style, 2.75"" Length X 2.375"" Width, Transparent (Pack of 100)",1,guelph,Ontario,N1E 0C5,24.98,-3,-5.75,9
2019-01-02,2:39:53 PM PST,Order,,PRK-03-08,2 X Aquasonic CLEAR Ultrasound Transmission Gel Doppler Tens (0.25 ltr) (Pack of 2),1,Lindsay,Ontario,K9V 3C6,13.35,-2,-6.11,1.72
2019-01-02,2:42:31 PM PST,Order,,PRK-03-08,2 X Aquasonic CLEAR Ultrasound Transmission Gel Doppler Tens (0.25 ltr) (Pack of 2),1,Candiac,Quebec,J5R 6J9,13.35,-2,-6.11,1.72
2019-01-02,3:03:51 PM PST,Order,,PRK-12-02(1),"Spectra PAR12-02 Parker Laboratories 360 Electrode Gel, 2 oz. Tube",1,Airdrie,Ab,T4B 0V6,8.33,-1,-6.58,0
2019-01-02,3:13:47 PM PST,Order,,LUX-NEO320B,Luxe Bidet Neo 320 (Elite Series) - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Va,1,New Westminster,British Columbia,V3M 2L6,69.85,-10.48,-7.35,27.4
2019-01-02,4:15:31 PM PST,Order,,PRK 12-08(1),"Spectra_ 360 electrode gel, 250gm (8.5oz) tube - each",1,Montreal,Quebec,H2E 1Z5,14.18,-2.13,-5.75,0
2019-01-02,4:20:28 PM PST,Order,,LUX-NEO110B,Luxe Bidet Neo 110 - Fresh Water Non-Electric Mechanical Bidet Toilet Seat Attachment (blue and white),1,North York,Ontario,M6A 2P3,33.95,-5.09,-7.35,14.65
2019-01-02,4:30:02 PM PST,Order,,LUX-NEO110B,Luxe Bidet Neo 110 - Fresh Water Non-Electric Mechanical Bidet Toilet Seat Attachment (blue and white),1,Edmonton AB,Alberta,T6T 0A7,33.95,-5.09,-6.83,14.65
2019-01-02,4:30:49 PM PST,Order,,LUX-NEO110B,Luxe Bidet Neo 110 - Fresh Water Non-Electric Mechanical Bidet Toilet Seat Attachment (blue and white),1,Toronto,Ontario,M3C 1L2,33.95,-5.09,-7.35,14.65
2019-01-02,4:31:06 PM PST,Order,,LUX-NEO185B,Luxe Bidet Neo 185 (Elite Series) - Self Cleaning Dual Nozzle - Fresh Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Valves an,1,Pickering,Ontario,L1V 1T4,49.95,-7.49,-7.35,24.03
2019-01-02,5:32:50 PM PST,Order,,LUX-NEO185B,Luxe Bidet Neo 185 (Elite Series) - Self Cleaning Dual Nozzle - Fresh Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Valves an,1,EDMONTON,AB,T5B 0R0,49.95,-7.49,-6.83,24.03
2019-01-02,5:37:06 PM PST,Order,3MM-R1547,3MM-R1547,"3M Steri-Strip reinforced Skin Closures - 1/2"" x 4"" - 10 pack of 6 strip envelope (60 strips)",1,Beausejour,Manitoba,R0E 0C0,9.7,-1.46,-3.54,13.37
2019-01-02,5:37:35 PM PST,Order,3MM-1527-1,3MM-1527-1-12,"3M Transpore Surgical Tape 1"" x 10 yard (Pack of 12)",1,Markham,ON,L3R 6Y5,17.5,-2.63,-6.11,4.73
2019-01-02,5:37:47 PM PST,Order,,PRK 12-08(2),"SPECTRA 360 12-08 Electrode Gel, 250 g Tube (Pack of 2)",1,Mississauga,Ontario,L4Z 1H6,15.18,-1.82,-6.11,0
2019-01-02,5:39:43 PM PST,Order,,LUX-NEO320W,Luxe Bidet Neo 320 - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment (white and white),1,Winnipeg,Manitoba,R2G 3L4,69.85,-10.48,-6.83,27.4
2019-01-02,5:40:30 PM PST,Order,,LUX-NEO110B,Luxe Bidet Neo 110 - Fresh Water Non-Electric Mechanical Bidet Toilet Seat Attachment (blue and white),1,BRAMPTON,Ontario,L6R 1Z7,33.95,-5.09,-6.83,14.65
2019-01-02,5:40:33 PM PST,Order,,3MM-1527-1-12 (2),3M 1527-1 Transpore Tape (Pack of 12),1,Chatham,Ontario,N7M 3H3,17.25,-4.14,-6.11,
2019-01-02,5:40:33 PM PST,Order,,3MM-1527-1-12 (2),3M 1527-1 Transpore Tape (Pack of 12),1,Chatham,Ontario,N7M 3H3,17.25,0,-6.11,
2019-01-02,5:41:01 PM PST,Order,,PRK-03-08,2 X Aquasonic CLEAR Ultrasound Transmission Gel Doppler Tens (0.25 ltr) (Pack of 2),1,Markham,Ontario,L6B 0N3,13.35,-2,-6.11,1.72
2019-01-02,5:41:17 PM PST,Order,,PRK-01-08,2 X Aquasonic 100 Ultrasound Transmission Gel Doppler Tens (0.25 ltr) (Pack of 2),1,Vaughan,Ontario,L6A4Y4,13.7,-2.06,-6.11,1.66
2019-01-02,5:41:40 PM PST,Order,,LUX-NEO110B,Luxe Bidet Neo 110 - Fresh Water Non-Electric Mechanical Bidet Toilet Seat Attachment (blue and white),1,Winnipeg,Manitoba,R2R 0R2,33.95,-10.18,-6.83,14.65
2019-01-02,5:41:40 PM PST,Order,,LUX-NEO110B,Luxe Bidet Neo 110 - Fresh Water Non-Electric Mechanical Bidet Toilet Seat Attachment (blue and white),1,Winnipeg,Manitoba,R2R 0R2,33.95,0,-6.83,14.65
2019-01-02,5:47:40 PM PST,Order,,3MM-1527-1-12 (2),3M 1527-1 Transpore Tape (Pack of 12),1,Vaughan,Ontario,L4L 9E4,17.25,-2.07,-6.11,
2019-01-02,5:51:01 PM PST,Order,,MOP-3047_JPA-IP6-BLU,mophie juice pack Air Battery Case for Apple iPhone 6 / iPhone 6s - Blue,1,Temagami,Ontario,P0H 2H0,55,-4.4,-11.78,26.4
2019-01-02,6:28:07 PM PST,Order,,PRK-12-02(1),"Spectra PAR12-02 Parker Laboratories 360 Electrode Gel, 2 oz. Tube",1,Mascouche,Quebec,J7K 0M3,8.33,-1,-6.58,0
2019-01-02,6:40:33 PM PST,Order,,LUX-NEO110B,Luxe Bidet Neo 110 - Fresh Water Non-Electric Mechanical Bidet Toilet Seat Attachment (blue and white),1,L'Assomption,Quebec,J5W 6C5,33.95,-5.09,-7.35,14.65
2019-01-02,6:50:51 PM PST,Order,,LUX-NEO110B,Luxe Bidet Neo 110 - Fresh Water Non-Electric Mechanical Bidet Toilet Seat Attachment (blue and white),1,New Westminster,British Columbia,V3M 1B6,33.95,-5.09,-6.83,14.65
2019-01-02,6:51:01 PM PST,Order,,LUX-NEO110B,Luxe Bidet Neo 110 - Fresh Water Non-Electric Mechanical Bidet Toilet Seat Attachment (blue and white),1,Surrey,British Columbia,V3W5G7,33.95,-5.09,-6.83,14.65
2019-01-02,6:51:13 PM PST,Order,,OMR-BP742N,Omron BP742N 5 Series Upper Arm Blood Pressure Monitor with Cuff that fits Standard and Large Arms,1,VANCOUVER,BC,V5M 1N5,67.9,-10.19,-6.11,29.15
2019-01-02,6:53:13 PM PST,Order,,LUX-NEO110B,Luxe Bidet Neo 110 - Fresh Water Non-Electric Mechanical Bidet Toilet Seat Attachment (blue and white),1,Surrey,British Columbia,V3V 5P2,33.95,-5.09,-13.91,14.65
2019-01-02,6:53:20 PM PST,Order,,LUX-NEO110B,Luxe Bidet Neo 110 - Fresh Water Non-Electric Mechanical Bidet Toilet Seat Attachment (blue and white),1,Port Coquitlam,BC,V3B 0M7,33.95,-5.09,-6.83,14.65
2019-01-02,6:54:18 PM PST,Order,,LUX-NEO110B,Luxe Bidet Neo 110 - Fresh Water Non-Electric Mechanical Bidet Toilet Seat Attachment (blue and white),1,Burnaby,British Columbia,V3N 0E3,33.95,-5.09,-6.83,14.65
2019-01-02,6:57:09 PM PST,Order,3MM-R1547,3MM-R1547,"3M Steri-Strip reinforced Skin Closures - 1/2"" x 4"" - 10 pack of 6 strip envelope (60 strips)",1,Russell,Ontario,K4R 0B8,9.7,-1.46,-3.81,13.37
2019-01-02,7:59:25 PM PST,Order,3MM-R1547,3MM-R1547,"3M Steri-Strip reinforced Skin Closures - 1/2"" x 4"" - 10 pack of 6 strip envelope (60 strips)",3,Calgary,Alberta,T2Y 0K1,29.1,-4.38,-10.62,40.11
2019-01-02,8:06:27 PM PST,Order,MDL-NON80328,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,Calgary,AB,T3R 0A8,12.99,-1.95,-6.11,3.43
2019-01-02,8:18:00 PM PST,Order,,LUX-NEO120B,Luxe Bidet Neo 120 - Self Cleaning Nozzle - Fresh Water Non-Electric Mechanical Bidet Toilet Attachment (blue and white),1,Thornhill,Ontario,L3T 3B3,47.01,-7.05,-7.35,18.31
2019-01-02,8:22:45 PM PST,Order,,PRK-03-08,2 X Aquasonic CLEAR Ultrasound Transmission Gel Doppler Tens (0.25 ltr) (Pack of 2),1,Airdrie,Alberta,T4B 4B3,13.35,-2,-6.11,1.72
2019-01-02,8:22:45 PM PST,Order,3MM-R1547,3MM-R1547,"3M Steri-Strip reinforced Skin Closures - 1/2"" x 4"" - 10 pack of 6 strip envelope (60 strips)",1,Calgary,Alberta,T1Y 6R1,9.7,-1.46,-3.54,13.37
2019-01-02,8:36:37 PM PST,Order,,3MM-1624W(50),"Pack of 50 3M Tegaderm 2 3/8 x 2 3/4"" 1624W",1,Guelph,Ontario,N1H 8E3,16,-2.4,-4.03,4.5
2019-01-02,8:39:23 PM PST,Order,,LUX-NEO185W,Luxe Bidet Neo 185 (Elite Series) - Self Cleaning Dual Nozzle - Fresh Water Non-Electric Mechanical Bidet Toilet Attachment w/Strong Faucet Valves and,2,Vancouver,BC,V6H3W4,99.9,-14.98,-14.69,48.06
2019-01-02,8:44:07 PM PST,Order,,LUX-NEO110B,Luxe Bidet Neo 110 - Fresh Water Non-Electric Mechanical Bidet Toilet Seat Attachment (blue and white),1,Waterloo,Ontario,N2K 3X4,33.95,-5.09,-7.35,14.65
2019-01-02,8:52:20 PM PST,Order,,LUX-NEO110B,Luxe Bidet Neo 110 - Fresh Water Non-Electric Mechanical Bidet Toilet Seat Attachment (blue and white),1,Windsor,Ontario,N9E 4M6,33.95,-5.09,-7.35,14.65
2019-01-02,9:03:05 PM PST,Order,,LUX-NEO110B,Luxe Bidet Neo 110 - Fresh Water Non-Electric Mechanical Bidet Toilet Seat Attachment (blue and white),1,Burnaby,British Columbia,V5J 3Y3,33.95,-5.09,-7.35,14.65
2019-01-02,9:18:36 PM PST,Order,,LUX-NEO180W,Luxe Bidet Neo 180 - Self Cleaning Dual Nozzle - Fresh Water Non-Electric Mechanical Bidet Toilet Attachment (white and white),1,Mississauga,Ontario,L5N 8H3,67.39,-10.11,-7.35,24.03
2019-01-02,9:42:42 PM PST,Order,3MM-R1547,3MM-R1547,"3M Steri-Strip reinforced Skin Closures - 1/2"" x 4"" - 10 pack of 6 strip envelope (60 strips)",1,Colwood,British Columbia,V9C 1P2,9.7,-1.46,-3.81,13.37
2019-01-02,11:24:45 PM PST,Order,,PRK-12-02(1),"Spectra PAR12-02 Parker Laboratories 360 Electrode Gel, 2 oz. Tube",1,London,Ontario,N6K 1C3,8.33,-1,-6.58,0
2019-01-02,11:32:59 PM PST,Order,,LUX-NEO320W,Luxe Bidet Neo 320 - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment (white and white),1,St. Catharines,Ontario,L2R2S3,69.85,-31.44,-7.35,27.4
2019-01-02,11:32:59 PM PST,Order,,LUX-NEO320W,Luxe Bidet Neo 320 - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment (white and white),1,St. Catharines,Ontario,L2R2S3,69.85,0,-7.35,27.4
2019-01-02,11:32:59 PM PST,Order,,LUX-NEO320W,Luxe Bidet Neo 320 - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment (white and white),1,St. Catharines,Ontario,L2R2S3,69.85,0,-7.35,27.4
2019-01-02,11:40:14 PM PST,Order,3MM-1626W,3MM-1626W,"3M 1626W Tegaderm Transparent Film Dressing, Frame Style, 10 cm  Length x 12 cm Width (4 in x 4-3/4 in), Pack of 50",1,Mississauga,Ontario,L5G 1S7,31,-3.72,-11.96,9.82
2019-01-02,11:46:41 PM PST,Order,,PRK 12-08(2),"SPECTRA 360 12-08 Electrode Gel, 250 g Tube (Pack of 2)",1,Vancouver,BC,V5S 4S6,16.8,-2.02,-6.11,0
2019-01-02,11:47:56 PM PST,Order,,PRK-03-08,2 X Aquasonic CLEAR Ultrasound Transmission Gel Doppler Tens (0.25 ltr) (Pack of 2),1,Port Coquitlam,British Columbia,V3C 6G5,13.35,-2,-6.11,1.72
2019-01-02,11:51:56 PM PST,Order,,LUX-NEO185B,Luxe Bidet Neo 185 (Elite Series) - Self Cleaning Dual Nozzle - Fresh Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Valves an,1,London,Ontario,N6G 2R4,49.95,-7.49,-7.35,24.03
2019-01-02,11:54:00 PM PST,Order,,OMR-BP742N,Omron BP742N 5 Series Upper Arm Blood Pressure Monitor with Cuff that fits Standard and Large Arms,1,Richmond,British Columbia,V7C 1T7,67.9,-10.19,-6.11,29.15
2019-01-02,11:57:23 PM PST,Order,,PRK-03-08,2 X Aquasonic CLEAR Ultrasound Transmission Gel Doppler Tens (0.25 ltr) (Pack of 2),1,"Kamloops, BC",BC,V2E0B1,13.35,-2,-13.08,1.72
2019-01-02,11:59:45 PM PST,Order,,LUX-NEO185B,Luxe Bidet Neo 185 (Elite Series) - Self Cleaning Dual Nozzle - Fresh Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Valves an,1,Victoria,British Columbia,V9B 0R8,49.95,-7.49,-6.83,24.03
