,Unnamed: 0,vendor,date,order id,country,order city,order state,product brand,item,quantity,revenue,total cost,profit,return on sales,item description
63,45653,net32,2019-01-03,12978,USA,Northridge,CA,KURARAY,KUR-1970-KA(E),2,195.88,136.92,58.96,0.30100061300000003,KURARAY CLEARFIL SE BOND KIT                                
64,45654,net32,2019-01-03,12952,USA,Ridgewood,NY,SHOFU,SHO-0247,3,48.45,26.97,21.48,0.44334365299999995,SHOFU DURA-WHITE STONES FG RD1                              
65,45655,net32,2019-01-03,12947,USA,Cincinnati,OH,KURARAY,KUR-1981-KA,1,91.5,65.03,26.47,0.289289617,KURARAY CLEARFIL SE BOND LIQUID REFILL 5ML                  
66,45656,net32,2019-01-03,12948,USA,Raleigh,NC,KERR,KER-33872,5,225.0,154.15,70.85,0.314888889,KERR MAXCEM ELITE REFILL CLEAR 2/PK                         
67,45657,net32,2019-01-03,12982,USA,Miami,FL,KERR,KER-35129,2,55.9,41.66,14.24,0.25474060800000004,KERR OPTIBOND ALL IN ONE SELF ETCH 6ML                      
68,45658,net32,2019-01-03,12976,USA,New Orleans,LA,3M ESPE,3MD-712-035,1,135.0,40.54,94.46,0.699703704,3M ESPE TRANSBOND XT SYRINGE  KIT                           
69,45659,net32,2019-01-03,12958,USA,Houston,TX,DENTSPLY,DEN-605602,5,108.75,41.1,67.65,0.6220689660000001,DENTSPLY JELTRATE-PLUS FAST-SET
70,45660,net32,2019-01-03,12968,USA,Kenai,AK,3M ESPE,3MD-5905A2,10,420.0,279.8,140.2,0.33380952399999997,3M ESPE Z100 RESTORATIVE CAPSULE A2                         
71,45661,net32,2019-01-03,12952,USA,Ridgewood,NY,SHOFU,SHO-0241,3,49.8,26.97,22.83,0.458433735,SHOFU DURA-WHITE STONES FG CN1                              
72,45662,net32,2019-01-03,12943,USA,Tulsa,OK,KERR,KER-35129,2,55.9,41.66,14.24,0.25474060800000004,KERR OPTIBOND ALL IN ONE SELF ETCH 6ML                      
73,45663,net32,2019-01-03,12951,USA,Port Jefferson Station,NY,DENTSPLY,DEN-678776,1,90.0,56.78,33.22,0.369111111,DENTSPLY AQUASIL ULTRA REFILLS HEAVY FAST SET               
74,45664,net32,2019-01-03,12987,USA,Hempstead,NY,3M ESPE,3MD-1942FR,1,33.5,18.11,15.39,0.459402985,3M Espe Masks Fluid Resist- ROSE (50/Bx)     
75,45665,net32,2019-01-03,12974,USA,Indianapolis,IN,3M ESPE,3MD-7312,2,100.0,70.94,29.06,0.2906,3M ESPE EXPRESS PUTTY                                       
76,45666,net32,2019-01-03,12975,USA,Mesa,AZ,KULZER,KUL-66002186(E),2,53.8,36.82,16.98,0.315613383,KULZER FLEXITIME CORRECT FLOW CART 50 ML 2/PKG              
77,45667,net32,2019-01-03,12953,USA,Hobart,IN,KULZER,KUL-66041061,2,100.0,55.3,44.7,0.447,Kulzer Flexitime Extra Light Flow 2/Pkg
78,45668,net32,2019-01-03,12961,USA,Monument,CO,PREMIER(MISC),PRE-9007073,2,80.0,58.4,21.6,0.27,PREMIER HEMODENT 40 CC                                   
79,45669,net32,2019-01-03,12964,USA,Key West,FL,SHOFU,SHO-1753,1,60.0,29.47,30.53,0.508833333,SHOFU BEAUTIFUL II TIPS A2                                  
80,45670,net32,2019-01-03,12985,USA,Scottsdale,AZ,3M ESPE,3MD-6020A2(E),4,93.6,56.68,36.92,0.394444444,3M ESPE FILTEK Z250 SYRINGE A2                              
81,45671,net32,2019-01-03,12949,USA,Pikesville,MD,KULZER,KUL-66002186(E),2,53.8,36.82,16.98,0.315613383,KULZER FLEXITIME CORRECT FLOW CART 50 ML 2/PKG              
82,45672,net32,2019-01-03,12939,USA,Warrensburg,MO,ULTRADENT,ULT-132(E),4,44.6,24.24,20.36,0.456502242,ULTRADENT ULTRAPAK CORD #1                                  
83,45673,net32,2019-01-03,12956,USA,Gaithersburg,MD,COLTENE WHALEDENT,CWH-UC-32,3,88.5,42.24,46.26,0.522711864,COLTENE WHALEDENT BIOSONIC ENZYMATIC CLEANER                
84,45674,net32,2019-01-03,12940,USA,Miami Beach,FL,SULTAN,SUL-77640,4,124.0,84.08,39.92,0.321935484,SULTAN DENTAL GENIE BITE REGISTRATION FAST SET 2/PK         
85,45675,net32,2019-01-03,12963,USA,Gardena,CA,KURARAY,KUR-1981-KA,1,91.5,65.03,26.47,0.289289617,KURARAY CLEARFIL SE BOND LIQUID REFILL 5ML                  
86,45676,net32,2019-01-03,12970,USA,Victoria,TX,DENTSPLY,DEN-678775,1,74.9,48.52,26.38,0.35220293700000005,DENTSPLY AQUASIL ULTRA REFILLS HEAVY REGULAR SET            
87,45677,net32,2019-01-03,12969,USA,Glastonbury,CT,3M ESPE,3MD-7312,2,100.0,70.94,29.06,0.2906,3M ESPE EXPRESS PUTTY                                       
88,45678,net32,2019-01-03,12981,USA,Los Angeles,CA,3M ESPE,3MD-7312,2,100.0,70.94,29.06,0.2906,3M ESPE EXPRESS PUTTY                                       
89,45679,net32,2019-01-03,12962,USA,Cincinnati,OH,KERR,KER-33872,15,675.0,462.45,212.55,0.314888889,KERR MAXCEM ELITE REFILL CLEAR 2/PK                         
90,45680,net32,2019-01-03,12945,USA,Cambridge,MD,DENTSPLY,DEN-678776,1,90.0,56.78,33.22,0.369111111,DENTSPLY AQUASIL ULTRA REFILLS HEAVY FAST SET               
91,45681,net32,2019-01-03,12950,USA,Van Buren,AR,3M ESPE,3MD-EUR3,3,64.8,30.21,34.59,0.533796296,3M ESPE TEMP CROWN FORMS NI-CHRO (5/BX)                     
92,45682,net32,2019-01-03,12951,USA,Port Jefferson Station,NY,KERR,KER-06062,1,14.0,2.35,11.65,0.832142857,KERR SYBRON K-FILES 25MM #10                                
93,45683,net32,2019-01-03,12986,USA,Hemet,CA,3M ESPE,3MD-7312,3,150.0,106.41,43.59,0.2906,3M ESPE EXPRESS PUTTY                                       
94,45684,net32,2019-01-03,12984,USA,Milwaukee,WI,KURARAY,KUR-1970-KA(E),5,489.7,342.3,147.4,0.30100061300000003,KURARAY CLEARFIL SE BOND KIT                                
95,45685,net32,2019-01-03,12965,USA,Rapid City,SD,DENTSPLY,DEN-610007,1,44.0,22.48,21.52,0.48909090899999996,DENTSPLY IRM IVORY COMPLETE-KIT                             
96,45686,net32,2019-01-04,13010,USA,Sarasota,FL,KURARAY,KUR-1970-KA(E),1,97.94,68.46,29.48,0.30100061300000003,KURARAY CLEARFIL SE BOND KIT                                
97,45687,net32,2019-01-04,12990,USA,Fairfield,CT,KROMOPAN,KRO-KRM302,5,35.25,19.35,15.9,0.45106383,KROMOPAN ALGINATE 100 1LN BAG                               
98,45688,net32,2019-01-04,13011,USA,Boulder,CO,COLTENE WHALEDENT,CWH-H01415,2,34.0,17.66,16.34,0.480588235,"COLTENE-WHALEDENT RUBBER DAM NAPKINS FRAME SIZE 5&6""Â Â Â Â Â Â Â "
99,45689,net32,2019-01-04,13007,USA,Brandon,FL,KURARAY,KUR-3110-KA,1,75.0,33.44,41.56,0.554133333,
100,45690,net32,2019-01-04,13017,USA,Livonia,MI,KERR,KER-33872,4,180.0,123.32,56.68,0.314888889,KERR MAXCEM ELITE REFILL CLEAR 2/PK                         
101,45691,net32,2019-01-04,13012,USA,Winchester,KY,KERR,KER-35129,4,111.8,83.32,28.48,0.25474060800000004,KERR OPTIBOND ALL IN ONE SELF ETCH 6ML                      
102,45692,net32,2019-01-04,13007,USA,Brandon,FL,KURARAY,KUR-3112-KA,1,74.9,33.44,41.46,0.553538051,
103,45693,net32,2019-01-04,13014,USA,Richmond,TX,KROMOPAN,KRO-KRM302,3,25.05,11.61,13.44,0.5365269460000001,KROMOPAN ALGINATE 100 1LN BAG                               
104,45694,net32,2019-01-04,13006,USA,Hackettstown,NJ,DANVILLE,DAN-91074,1,45.0,22.23,22.77,0.506,DANVILLE ULTRA THIN FLEX MATRICES LARGE 100/PKÂ Â Â Â Â Â Â Â Â Â Â Â Â 
105,45695,net32,2019-01-04,13015,USA,Mansfield,MA,KURARAY,KUR-1970-KA(E),1,97.94,68.46,29.48,0.30100061300000003,KURARAY CLEARFIL SE BOND KIT                                
106,45696,net32,2019-01-04,13004,USA,Jacksonville,FL,3M ESPE,3MD-41258(E),2,90.0,60.0,30.0,0.333333333,3M ESPE SCOTCHBOND UNIVERSAL ADHESIVE
107,45697,net32,2019-01-04,12998,USA,Chicago,IL,3M ESPE,3MD-5905A2,2,84.0,55.96,28.04,0.33380952399999997,3M ESPE Z100 RESTORATIVE CAPSULE A2                         
108,45698,net32,2019-01-04,12994,USA,Jacksboro,TN,KODAK,KOD-1163401(E),1,55.0,36.57,18.43,0.335090909,KODAK INSIGHT FILM IP-21#2 POLYSOFT                         
109,45699,net32,2019-01-04,13028,USA,Inez,KY,SS WHITE,SSW-15121-5,2,51.38,34.16,17.22,0.33514986399999996,SS WHITE BURS 12 BLADE T&F FG7901 (5/PK)                    
110,45700,net32,2019-01-04,13028,USA,Inez,KY,SS WHITE,SSW-15095-5,4,92.0,68.32,23.68,0.257391304,SS WHITE BURS 12 BLADE T&F FG7406 (5/PK)                    
111,45701,net32,2019-01-04,12993,USA,Streator,IL,3M ESPE,3MD-56890,2,314.0,222.02,91.98,0.292929936,3M ESPE RELY X ULTIMATE ADHESIVE CEMENT TRANSLUCENT 8.5 G
112,45702,net32,2019-01-04,13030,USA,Benicia,CA,KERR,KER-33872,2,90.0,61.66,28.34,0.314888889,KERR MAXCEM ELITE REFILL CLEAR 2/PK                         
113,45703,net32,2019-01-04,13034,USA,Gainesville,FL,3M ESPE,3MD-56819,1,110.99,85.17,25.82,0.232633571,3M ESPE RELY X UNICEM APLICAP REFILL A1 UNIVERSAL (50/BX)
114,45704,net32,2019-01-04,13024,USA,Riverside,CA,3M ESPE,3MD-71225,2,35.8,20.98,14.82,0.41396648,3M ESPE IMPREGUM SYRINGE TIPS INTRAORAL(12/PK)
115,45705,net32,2019-01-04,13001,USA,Potomac,MD,KERR,KER-33872,4,180.0,123.32,56.68,0.314888889,KERR MAXCEM ELITE REFILL CLEAR 2/PK                         
116,45706,net32,2019-01-04,13008,USA,San Mateo,CA,BEAVER,BEA-FG330,1,85.0,58.96,26.04,0.306352941,BEAVER BURS FG330 100/PK                                    
117,45707,net32,2019-01-04,13022,USA,Louisville,KY,3M ESPE,3MD-41258(E),3,135.0,90.0,45.0,0.333333333,3M ESPE SCOTCHBOND UNIVERSAL ADHESIVE
118,45708,net32,2019-01-04,13018,USA,Glenshaw,PA,DENTSPLY,DEN-610007,1,44.0,22.48,21.52,0.48909090899999996,DENTSPLY IRM IVORY COMPLETE-KIT                             
119,45709,net32,2019-01-04,12995,USA,Milwaukee,WI,SS WHITE,SSW-13330,1,135.0,88.56,46.44,0.344,SS WHITE BURS FG330 (100/PK)                                
120,45710,net32,2019-01-04,13019,USA,Ocala,FL,KERR,KER-33872,4,171.96,123.32,48.64,0.282856478,KERR MAXCEM ELITE REFILL CLEAR 2/PK                         
121,45711,net32,2019-01-04,13025,USA,Dallas,TX,DENTSPLY,DEN-605602,3,65.25,24.66,40.59,0.6220689660000001,DENTSPLY JELTRATE-PLUS FAST-SET
122,45712,net32,2019-01-04,13036,USA,New City,NY,3M ESPE,3MD-31712(E),3,263.94,201.0,62.94,0.238463287,3M ESPE IMPREGUM F DOUBLE PACK                              
123,45713,net32,2019-01-04,13013,USA,Avondale,AZ,3M ESPE,3MD-712-035,2,270.0,81.08,188.92,0.699703704,3M ESPE TRANSBOND XT SYRINGE  KIT                           
124,45714,net32,2019-01-04,13023,USA,Miami,FL,3M ESPE,3MD-6020A1(E),18,394.2,255.06,139.14,0.352968037,3M ESPE FILTEK Z250 SYRINGE A1                              
125,45715,net32,2019-01-04,13033,USA,Oceanside,NY,KURARAY,KUR-1981-KA,2,183.0,130.06,52.94,0.289289617,KURARAY CLEARFIL SE BOND LIQUID REFILL 5ML                  
126,45716,net32,2019-01-04,13035,USA,Denver,CO,SS WHITE,SSW-15380-5,5,199.95,85.4,114.55,0.572893223,SS WHITE BURS 20 BLADE T&F #8379 (5/PK)                     
127,45717,net32,2019-01-04,13016,USA,Chicago,IL,KERR,KER-33872,2,90.0,61.66,28.34,0.314888889,KERR MAXCEM ELITE REFILL CLEAR 2/PK                         
128,45718,net32,2019-01-04,13035,USA,Denver,CO,ULTRADENT,ULT-132(E),3,33.45,18.18,15.27,0.456502242,ULTRADENT ULTRAPAK CORD #1                                  
129,45719,net32,2019-01-04,13009,USA,Riverton,NJ,GC,GCD-004714,6,852.0,612.54,239.46,0.281056338,Gc Fujicem 2 Paste Pak
130,45720,net32,2019-01-04,13021,USA,Dallas,TX,3M ESPE,3MD-DUL3,4,81.4,40.28,41.12,0.505159705,3M ESPE TEMP CROWN FORMS NI-CHRO (5/BX)                     
131,45721,net32,2019-01-04,13035,USA,Denver,CO,KURARAY,KUR-1970-KA(E),3,293.82,205.38,88.44,0.30100061300000003,KURARAY CLEARFIL SE BOND KIT                                
132,45722,net32,2019-01-04,13021,USA,Dallas,TX,3M ESPE,3MD-EUL4,6,120.0,60.42,59.58,0.4965,3M ESPE TEMP CROWN FORMS NI-CHRO (5/BX)                     
133,45723,net32,2019-01-04,13005,USA,Chula Vista,CA,KERR,KER-14128,2,16.6,4.7,11.9,0.71686747,KERR SYBRON K-FILES 25MM #08                                
134,45724,net32,2019-01-04,13032,USA,Tucson,AZ,KURARAY,KUR-1970-KA(E),1,97.94,68.46,29.48,0.30100061300000003,KURARAY CLEARFIL SE BOND KIT                                
135,45725,net32,2019-01-04,13021,USA,Dallas,TX,3M ESPE,3MD-DLR3,4,81.2,40.28,40.92,0.5039408870000001,3M ESPE TEMP CROWN FORMS NI-CHRO (5/BX)                     
136,45726,net32,2019-01-04,13021,USA,Dallas,TX,3M ESPE,3MD-DLL4,5,99.5,50.35,49.15,0.49396984899999996,3M ESPE TEMP CROWN FORMS NI-CHRO (5/BX)                     
137,45727,net32,2019-01-04,13021,USA,Dallas,TX,3M ESPE,3MD-EUR3,5,108.0,50.35,57.65,0.533796296,3M ESPE TEMP CROWN FORMS NI-CHRO (5/BX)                     
138,45728,net32,2019-01-04,12989,USA,Saint Petersburg,FL,KERR,KER-29837(EU),2,68.4,47.96,20.44,0.29883040899999996,KERR HERCULITE XRV UNIDOSE ENAMEL A3 20/BX                  
139,45729,net32,2019-01-04,12999,USA,Russellville,AL,KAVO(MISC),KAV-0.411.9911,4,28.4,10.08,18.32,0.645070423,KAVO SPRAY NOZZLE QUICK                                     
140,45730,net32,2019-01-04,12989,USA,Saint Petersburg,FL,KERR,KER-29838(EU),2,73.0,63.08,9.92,0.135890411,KERR HERCULITE XRV UNIDOSE ENAMEL A3.5 20/BX                
141,45731,net32,2019-01-04,12991,USA,New Orleans,LA,3M ESPE,3MD-712-035,1,135.0,40.54,94.46,0.699703704,3M ESPE TRANSBOND XT SYRINGE  KIT                           
142,45732,net32,2019-01-04,13020,USA,Pittsburg,KS,3M ESPE,3MD-5904A1(E),4,72.6,43.04,29.56,0.40716253399999996,3M ESPE Z100 SYRINGE A1                                     
143,45733,net32,2019-01-04,12996,USA,Bentleyville,PA,DENTSPLY,DEN-610007,1,44.0,22.48,21.52,0.48909090899999996,DENTSPLY IRM IVORY COMPLETE-KIT                             
144,45734,net32,2019-01-04,13027,USA,Sanger,CA,SDI,SDI-4422202,1,458.0,340.47,117.53,0.256615721,SDI GS-80 CAPSULES 2 SPILL FAST SET 500/JAR                 
145,45735,net32,2019-01-04,13003,USA,Allentown,PA,COLTENE WHALEDENT,CWH-UC-32,2,59.0,28.16,30.84,0.522711864,COLTENE WHALEDENT BIOSONIC ENZYMATIC CLEANER                
