,vendor,date,order id,country,order city,order state,product brand,item,quantity,revenue,total cost,profit,return on sales,item description
45623,net32,01/02/2019,12925,USA,Roanoke,VA,SS WHITE,SSW-15092-5,2,67.1,33.98,33.12,0.493591654,SS WHITE BURS TRIM & FINISHING FG7803 (5/PK)                
45624,net32,01/02/2019,12916,USA,Murfreesboro,TN,3M ESPE,3MD-56878,5,380,195.95,184.05,0.484342105,3M ESPE RELY X U200 A2 UNIVERSAL CLICKER
45625,net32,01/02/2019,12920,USA,La Quinta,CA,3M ESPE,3MD-7312,2,100,70.94,29.06,0.2906,3M ESPE EXPRESS PUTTY                                       
45626,net32,01/02/2019,12918,USA,Redmond,WA,3M ESPE,3MD-41258(E),2,90,60,30,0.333333333,3M ESPE SCOTCHBOND UNIVERSAL ADHESIVE
45627,net32,01/02/2019,12906,USA,Lake Forest,CA,SHOFU,SHO-1753,2,99,58.94,40.06,0.404646465,SHOFU BEAUTIFUL II TIPS A2                                  
45628,net32,01/02/2019,12927,USA,Mount Airy,NC,KERR,KER-36053(EU),2,141.4,81.06,60.34,0.426732673,KERR SONICFILL 2 UNIDOSE REFILL A3 20/PK                    
45629,net32,01/02/2019,12928,USA,Auburn,NY,KROMOPAN,KRO-KRM302,10,65,38.7,26.3,0.404615385,KROMOPAN ALGINATE 100 1LN BAG                               
45630,net32,01/02/2019,12919,USA,Columbia,MO,DENTSPLY,DEN-80395,6,738,419.1,318.9,0.432113821,DENTSPLY CAVITRON 30K FSI SLI-10S                           
45631,net32,01/02/2019,12912,USA,Towson,MD,PARKELL ,PAR-S017,3,64.8,47.79,17.01,0.2625,PARKELL  ACCUFILM II RED/BLACK                              
45632,net32,01/02/2019,12910,USA,Sunnyvale,CA,KURARAY,KUR-1970-KA(E),1,97.94,68.46,29.48,0.301000613,KURARAY CLEARFIL SE BOND KIT                                
45633,net32,01/02/2019,12912,USA,Towson,MD,SHOFU,SHO-L507,6,84.9,39.12,45.78,0.539222615,SHOFU SUPER SNAP DISKS CONTOURING BLACK SSD                 
45634,net32,01/02/2019,12912,USA,Towson,MD,SHOFU,SHO-L519,5,75,32.75,42.25,0.563333333,SHOFU SUPER SNAP DISKS POLISHING DARK GREEN MINI            
45635,net32,01/02/2019,12910,USA,Sunnyvale,CA,DENTSPLY,DEN-610007,2,87.96,44.96,43,0.488858572,DENTSPLY IRM IVORY COMPLETE-KIT                             
45636,net32,01/02/2019,12912,USA,Towson,MD,SHOFU,SHO-L506,3,42.3,19.56,22.74,0.537588652,SHOFU SUPER SNAP DISKS CONTOURING                           
45637,net32,01/02/2019,12910,USA,Sunnyvale,CA,3M ESPE,3MD-7510,3,140.97,90.51,50.46,0.3579485,3M ESPE VITREBOND INTRODUCTORY KIT                          
45638,net32,01/03/2019,12966,USA,Colorado Springs,CO,SS WHITE,SSW-13095,2,399.98,282.78,117.2,0.293014651,SS WHITE BURS FG GW2 (100/PK)                               
45639,net32,01/03/2019,12954,USA,Midlothian,VA,3M ESPE,3MD-6020A2(E),3,72,42.51,29.49,0.409583333,3M ESPE FILTEK Z250 SYRINGE A2                              
45640,net32,01/03/2019,12973,USA,Castle Dale,UT,KURARAY,KUR-1970-KA(E),1,97.94,68.46,29.48,0.301000613,KURARAY CLEARFIL SE BOND KIT                                
45641,net32,01/03/2019,12967,USA,Hopewell Junction,NY,3M ESPE,3MD-41258(E),4,180,120,60,0.333333333,3M ESPE SCOTCHBOND UNIVERSAL ADHESIVE
45642,net32,01/03/2019,12960,USA,Everett,WA,KROMOPAN,KRO-KRM302,12,78,46.44,31.56,0.404615385,KROMOPAN ALGINATE 100 1LN BAG                               
45643,net32,01/03/2019,12942,USA,Fleming Island,FL,KURARAY,KUR-1970-KA(E),1,97.94,68.46,29.48,0.301000613,KURARAY CLEARFIL SE BOND KIT                                
45644,net32,01/03/2019,12972,USA,Phoenix,AZ,KURARAY,KUR-3303-KA,1,46,29.37,16.63,0.361521739,
45645,net32,01/03/2019,12979,USA,Hercules,CA,KURARAY,KUR-1970-KA(E),1,97.94,68.46,29.48,0.301000613,KURARAY CLEARFIL SE BOND KIT                                
45646,net32,01/03/2019,12974,USA,Indianapolis,IN,3M ESPE,3MD-6020A2(E),1,27,14.17,12.83,0.475185185,3M ESPE FILTEK Z250 SYRINGE A2                              
45647,net32,01/03/2019,12955,USA,Toms River,NJ,3M ESPE,3MD-41258(E),2,90,60,30,0.333333333,3M ESPE SCOTCHBOND UNIVERSAL ADHESIVE
45648,net32,01/03/2019,12968,USA,Kenai,AK,3M ESPE,3MD-5905A3,10,420,279.8,140.2,0.333809524,3M ESPE Z100 RESTORATIVE CAPSULE A3                         
45649,net32,01/03/2019,12957,USA,Perrysburg,OH,3M ESPE,3MD-5905A2,5,210,139.9,70.1,0.333809524,3M ESPE Z100 RESTORATIVE CAPSULE A2                         
45650,net32,01/03/2019,12980,USA,Leesburg,VA,VIVADENT,VIV-590332,3,181.47,146.97,34.5,0.190114068,VIVADENT TETRIC EVOCERAM CAVIFIL CAPS A2 20/BX              
45651,net32,01/03/2019,12977,USA,Conway,AR,KEYSTONE/BOSWORTH,NKY-921896,3,24.9,11.1,13.8,0.554216867,Bosworth/Keystone Tray-Away #9S Perforated La (12/Bag)Â Â Â Â Â 
45652,net32,01/03/2019,12983,USA,Mabank,TX,3M ESPE,3MD-56890,2,314,222.02,91.98,0.292929936,3M ESPE RELY X ULTIMATE ADHESIVE CEMENT TRANSLUCENT 8.5 G
45653,net32,01/03/2019,12978,USA,Northridge,CA,KURARAY,KUR-1970-KA(E),2,195.88,136.92,58.96,0.301000613,KURARAY CLEARFIL SE BOND KIT                                
45654,net32,01/03/2019,12952,USA,Ridgewood,NY,SHOFU,SHO-0247,3,48.45,26.97,21.48,0.443343653,SHOFU DURA-WHITE STONES FG RD1                              
45655,net32,01/03/2019,12947,USA,Cincinnati,OH,KURARAY,KUR-1981-KA,1,91.5,65.03,26.47,0.289289617,KURARAY CLEARFIL SE BOND LIQUID REFILL 5ML                  
45656,net32,01/03/2019,12948,USA,Raleigh,NC,KERR,KER-33872,5,225,154.15,70.85,0.314888889,KERR MAXCEM ELITE REFILL CLEAR 2/PK                         
45657,net32,01/03/2019,12982,USA,Miami,FL,KERR,KER-35129,2,55.9,41.66,14.24,0.254740608,KERR OPTIBOND ALL IN ONE SELF ETCH 6ML                      
45658,net32,01/03/2019,12976,USA,New Orleans,LA,3M ESPE,3MD-712-035,1,135,40.54,94.46,0.699703704,3M ESPE TRANSBOND XT SYRINGE  KIT                           
45659,net32,01/03/2019,12958,USA,Houston,TX,DENTSPLY,DEN-605602,5,108.75,41.1,67.65,0.622068966,DENTSPLY JELTRATE-PLUS FAST-SET
45660,net32,01/03/2019,12968,USA,Kenai,AK,3M ESPE,3MD-5905A2,10,420,279.8,140.2,0.333809524,3M ESPE Z100 RESTORATIVE CAPSULE A2                         
45661,net32,01/03/2019,12952,USA,Ridgewood,NY,SHOFU,SHO-0241,3,49.8,26.97,22.83,0.458433735,SHOFU DURA-WHITE STONES FG CN1                              
45662,net32,01/03/2019,12943,USA,Tulsa,OK,KERR,KER-35129,2,55.9,41.66,14.24,0.254740608,KERR OPTIBOND ALL IN ONE SELF ETCH 6ML                      
45663,net32,01/03/2019,12951,USA,Port Jefferson Station,NY,DENTSPLY,DEN-678776,1,90,56.78,33.22,0.369111111,DENTSPLY AQUASIL ULTRA REFILLS HEAVY FAST SET               
45664,net32,01/03/2019,12987,USA,Hempstead,NY,3M ESPE,3MD-1942FR,1,33.5,18.11,15.39,0.459402985,3M Espe Masks Fluid Resist- ROSE (50/Bx)     
45665,net32,01/03/2019,12974,USA,Indianapolis,IN,3M ESPE,3MD-7312,2,100,70.94,29.06,0.2906,3M ESPE EXPRESS PUTTY                                       
45666,net32,01/03/2019,12975,USA,Mesa,AZ,KULZER,KUL-66002186(E),2,53.8,36.82,16.98,0.315613383,KULZER FLEXITIME CORRECT FLOW CART 50 ML 2/PKG              
45667,net32,01/03/2019,12953,USA,Hobart,IN,KULZER,KUL-66041061,2,100,55.3,44.7,0.447,Kulzer Flexitime Extra Light Flow 2/Pkg
45668,net32,01/03/2019,12961,USA,Monument,CO,PREMIER(MISC),PRE-9007073,2,80,58.4,21.6,0.27,PREMIER HEMODENT 40 CC                                   
45669,net32,01/03/2019,12964,USA,Key West,FL,SHOFU,SHO-1753,1,60,29.47,30.53,0.508833333,SHOFU BEAUTIFUL II TIPS A2                                  
45670,net32,01/03/2019,12985,USA,Scottsdale,AZ,3M ESPE,3MD-6020A2(E),4,93.6,56.68,36.92,0.394444444,3M ESPE FILTEK Z250 SYRINGE A2                              
45671,net32,01/03/2019,12949,USA,Pikesville,MD,KULZER,KUL-66002186(E),2,53.8,36.82,16.98,0.315613383,KULZER FLEXITIME CORRECT FLOW CART 50 ML 2/PKG              
45672,net32,01/03/2019,12939,USA,Warrensburg,MO,ULTRADENT,ULT-132(E),4,44.6,24.24,20.36,0.456502242,ULTRADENT ULTRAPAK CORD #1                                  
45673,net32,01/03/2019,12956,USA,Gaithersburg,MD,COLTENE WHALEDENT,CWH-UC-32,3,88.5,42.24,46.26,0.522711864,COLTENE WHALEDENT BIOSONIC ENZYMATIC CLEANER                
45674,net32,01/03/2019,12940,USA,Miami Beach,FL,SULTAN,SUL-77640,4,124,84.08,39.92,0.321935484,SULTAN DENTAL GENIE BITE REGISTRATION FAST SET 2/PK         
45675,net32,01/03/2019,12963,USA,Gardena,CA,KURARAY,KUR-1981-KA,1,91.5,65.03,26.47,0.289289617,KURARAY CLEARFIL SE BOND LIQUID REFILL 5ML                  
45676,net32,01/03/2019,12970,USA,Victoria,TX,DENTSPLY,DEN-678775,1,74.9,48.52,26.38,0.352202937,DENTSPLY AQUASIL ULTRA REFILLS HEAVY REGULAR SET            
45677,net32,01/03/2019,12969,USA,Glastonbury,CT,3M ESPE,3MD-7312,2,100,70.94,29.06,0.2906,3M ESPE EXPRESS PUTTY                                       
45678,net32,01/03/2019,12981,USA,Los Angeles,CA,3M ESPE,3MD-7312,2,100,70.94,29.06,0.2906,3M ESPE EXPRESS PUTTY                                       
45679,net32,01/03/2019,12962,USA,Cincinnati,OH,KERR,KER-33872,15,675,462.45,212.55,0.314888889,KERR MAXCEM ELITE REFILL CLEAR 2/PK                         
45680,net32,01/03/2019,12945,USA,Cambridge,MD,DENTSPLY,DEN-678776,1,90,56.78,33.22,0.369111111,DENTSPLY AQUASIL ULTRA REFILLS HEAVY FAST SET               
45681,net32,01/03/2019,12950,USA,Van Buren,AR,3M ESPE,3MD-EUR3,3,64.8,30.21,34.59,0.533796296,3M ESPE TEMP CROWN FORMS NI-CHRO (5/BX)                     
45682,net32,01/03/2019,12951,USA,Port Jefferson Station,NY,KERR,KER-06062,1,14,2.35,11.65,0.832142857,KERR SYBRON K-FILES 25MM #10                                
45683,net32,01/03/2019,12986,USA,Hemet,CA,3M ESPE,3MD-7312,3,150,106.41,43.59,0.2906,3M ESPE EXPRESS PUTTY                                       
45684,net32,01/03/2019,12984,USA,Milwaukee,WI,KURARAY,KUR-1970-KA(E),5,489.7,342.3,147.4,0.301000613,KURARAY CLEARFIL SE BOND KIT                                
45685,net32,01/03/2019,12965,USA,Rapid City,SD,DENTSPLY,DEN-610007,1,44,22.48,21.52,0.489090909,DENTSPLY IRM IVORY COMPLETE-KIT                             
45686,net32,01/04/2019,13010,USA,Sarasota,FL,KURARAY,KUR-1970-KA(E),1,97.94,68.46,29.48,0.301000613,KURARAY CLEARFIL SE BOND KIT                                
45687,net32,01/04/2019,12990,USA,Fairfield,CT,KROMOPAN,KRO-KRM302,5,35.25,19.35,15.9,0.45106383,KROMOPAN ALGINATE 100 1LN BAG                               
45688,net32,01/04/2019,13011,USA,Boulder,CO,COLTENE WHALEDENT,CWH-H01415,2,34,17.66,16.34,0.480588235,"COLTENE-WHALEDENT RUBBER DAM NAPKINS FRAME SIZE 5&6""Â Â Â Â Â Â Â "
45689,net32,01/04/2019,13007,USA,Brandon,FL,KURARAY,KUR-3110-KA,1,75,33.44,41.56,0.554133333,
45690,net32,01/04/2019,13017,USA,Livonia,MI,KERR,KER-33872,4,180,123.32,56.68,0.314888889,KERR MAXCEM ELITE REFILL CLEAR 2/PK                         
45691,net32,01/04/2019,13012,USA,Winchester,KY,KERR,KER-35129,4,111.8,83.32,28.48,0.254740608,KERR OPTIBOND ALL IN ONE SELF ETCH 6ML                      
45692,net32,01/04/2019,13007,USA,Brandon,FL,KURARAY,KUR-3112-KA,1,74.9,33.44,41.46,0.553538051,
45693,net32,01/04/2019,13014,USA,Richmond,TX,KROMOPAN,KRO-KRM302,3,25.05,11.61,13.44,0.536526946,KROMOPAN ALGINATE 100 1LN BAG                               
45694,net32,01/04/2019,13006,USA,Hackettstown,NJ,DANVILLE,DAN-91074,1,45,22.23,22.77,0.506,DANVILLE ULTRA THIN FLEX MATRICES LARGE 100/PKÂ Â Â Â Â Â Â Â Â Â Â Â Â 
45695,net32,01/04/2019,13015,USA,Mansfield,MA,KURARAY,KUR-1970-KA(E),1,97.94,68.46,29.48,0.301000613,KURARAY CLEARFIL SE BOND KIT                                
45696,net32,01/04/2019,13004,USA,Jacksonville,FL,3M ESPE,3MD-41258(E),2,90,60,30,0.333333333,3M ESPE SCOTCHBOND UNIVERSAL ADHESIVE
45697,net32,01/04/2019,12998,USA,Chicago,IL,3M ESPE,3MD-5905A2,2,84,55.96,28.04,0.333809524,3M ESPE Z100 RESTORATIVE CAPSULE A2                         
45698,net32,01/04/2019,12994,USA,Jacksboro,TN,KODAK,KOD-1163401(E),1,55,36.57,18.43,0.335090909,KODAK INSIGHT FILM IP-21#2 POLYSOFT                         
45699,net32,01/04/2019,13028,USA,Inez,KY,SS WHITE,SSW-15121-5,2,51.38,34.16,17.22,0.335149864,SS WHITE BURS 12 BLADE T&F FG7901 (5/PK)                    
45700,net32,01/04/2019,13028,USA,Inez,KY,SS WHITE,SSW-15095-5,4,92,68.32,23.68,0.257391304,SS WHITE BURS 12 BLADE T&F FG7406 (5/PK)                    
45701,net32,01/04/2019,12993,USA,Streator,IL,3M ESPE,3MD-56890,2,314,222.02,91.98,0.292929936,3M ESPE RELY X ULTIMATE ADHESIVE CEMENT TRANSLUCENT 8.5 G
45702,net32,01/04/2019,13030,USA,Benicia,CA,KERR,KER-33872,2,90,61.66,28.34,0.314888889,KERR MAXCEM ELITE REFILL CLEAR 2/PK                         
45703,net32,01/04/2019,13034,USA,Gainesville,FL,3M ESPE,3MD-56819,1,110.99,85.17,25.82,0.232633571,3M ESPE RELY X UNICEM APLICAP REFILL A1 UNIVERSAL (50/BX)
45704,net32,01/04/2019,13024,USA,Riverside,CA,3M ESPE,3MD-71225,2,35.8,20.98,14.82,0.41396648,3M ESPE IMPREGUM SYRINGE TIPS INTRAORAL(12/PK)
45705,net32,01/04/2019,13001,USA,Potomac,MD,KERR,KER-33872,4,180,123.32,56.68,0.314888889,KERR MAXCEM ELITE REFILL CLEAR 2/PK                         
45706,net32,01/04/2019,13008,USA,San Mateo,CA,BEAVER,BEA-FG330,1,85,58.96,26.04,0.306352941,BEAVER BURS FG330 100/PK                                    
45707,net32,01/04/2019,13022,USA,Louisville,KY,3M ESPE,3MD-41258(E),3,135,90,45,0.333333333,3M ESPE SCOTCHBOND UNIVERSAL ADHESIVE
45708,net32,01/04/2019,13018,USA,Glenshaw,PA,DENTSPLY,DEN-610007,1,44,22.48,21.52,0.489090909,DENTSPLY IRM IVORY COMPLETE-KIT                             
45709,net32,01/04/2019,12995,USA,Milwaukee,WI,SS WHITE,SSW-13330,1,135,88.56,46.44,0.344,SS WHITE BURS FG330 (100/PK)                                
45710,net32,01/04/2019,13019,USA,Ocala,FL,KERR,KER-33872,4,171.96,123.32,48.64,0.282856478,KERR MAXCEM ELITE REFILL CLEAR 2/PK                         
45711,net32,01/04/2019,13025,USA,Dallas,TX,DENTSPLY,DEN-605602,3,65.25,24.66,40.59,0.622068966,DENTSPLY JELTRATE-PLUS FAST-SET
45712,net32,01/04/2019,13036,USA,New City,NY,3M ESPE,3MD-31712(E),3,263.94,201,62.94,0.238463287,3M ESPE IMPREGUM F DOUBLE PACK                              
45713,net32,01/04/2019,13013,USA,Avondale,AZ,3M ESPE,3MD-712-035,2,270,81.08,188.92,0.699703704,3M ESPE TRANSBOND XT SYRINGE  KIT                           
45714,net32,01/04/2019,13023,USA,Miami,FL,3M ESPE,3MD-6020A1(E),18,394.2,255.06,139.14,0.352968037,3M ESPE FILTEK Z250 SYRINGE A1                              
45715,net32,01/04/2019,13033,USA,Oceanside,NY,KURARAY,KUR-1981-KA,2,183,130.06,52.94,0.289289617,KURARAY CLEARFIL SE BOND LIQUID REFILL 5ML                  
45716,net32,01/04/2019,13035,USA,Denver,CO,SS WHITE,SSW-15380-5,5,199.95,85.4,114.55,0.572893223,SS WHITE BURS 20 BLADE T&F #8379 (5/PK)                     
45717,net32,01/04/2019,13016,USA,Chicago,IL,KERR,KER-33872,2,90,61.66,28.34,0.314888889,KERR MAXCEM ELITE REFILL CLEAR 2/PK                         
45718,net32,01/04/2019,13035,USA,Denver,CO,ULTRADENT,ULT-132(E),3,33.45,18.18,15.27,0.456502242,ULTRADENT ULTRAPAK CORD #1                                  
45719,net32,01/04/2019,13009,USA,Riverton,NJ,GC,GCD-004714,6,852,612.54,239.46,0.281056338,Gc Fujicem 2 Paste Pak
45720,net32,01/04/2019,13021,USA,Dallas,TX,3M ESPE,3MD-DUL3,4,81.4,40.28,41.12,0.505159705,3M ESPE TEMP CROWN FORMS NI-CHRO (5/BX)                     
45721,net32,01/04/2019,13035,USA,Denver,CO,KURARAY,KUR-1970-KA(E),3,293.82,205.38,88.44,0.301000613,KURARAY CLEARFIL SE BOND KIT                                
45722,net32,01/04/2019,13021,USA,Dallas,TX,3M ESPE,3MD-EUL4,6,120,60.42,59.58,0.4965,3M ESPE TEMP CROWN FORMS NI-CHRO (5/BX)                     
45723,net32,01/04/2019,13005,USA,Chula Vista,CA,KERR,KER-14128,2,16.6,4.7,11.9,0.71686747,KERR SYBRON K-FILES 25MM #08                                
45724,net32,01/04/2019,13032,USA,Tucson,AZ,KURARAY,KUR-1970-KA(E),1,97.94,68.46,29.48,0.301000613,KURARAY CLEARFIL SE BOND KIT                                
45725,net32,01/04/2019,13021,USA,Dallas,TX,3M ESPE,3MD-DLR3,4,81.2,40.28,40.92,0.503940887,3M ESPE TEMP CROWN FORMS NI-CHRO (5/BX)                     
45726,net32,01/04/2019,13021,USA,Dallas,TX,3M ESPE,3MD-DLL4,5,99.5,50.35,49.15,0.493969849,3M ESPE TEMP CROWN FORMS NI-CHRO (5/BX)                     
45727,net32,01/04/2019,13021,USA,Dallas,TX,3M ESPE,3MD-EUR3,5,108,50.35,57.65,0.533796296,3M ESPE TEMP CROWN FORMS NI-CHRO (5/BX)                     
45728,net32,01/04/2019,12989,USA,Saint Petersburg,FL,KERR,KER-29837(EU),2,68.4,47.96,20.44,0.298830409,KERR HERCULITE XRV UNIDOSE ENAMEL A3 20/BX                  
45729,net32,01/04/2019,12999,USA,Russellville,AL,KAVO(MISC),KAV-0.411.9911,4,28.4,10.08,18.32,0.645070423,KAVO SPRAY NOZZLE QUICK                                     
45730,net32,01/04/2019,12989,USA,Saint Petersburg,FL,KERR,KER-29838(EU),2,73,63.08,9.92,0.135890411,KERR HERCULITE XRV UNIDOSE ENAMEL A3.5 20/BX                
45731,net32,01/04/2019,12991,USA,New Orleans,LA,3M ESPE,3MD-712-035,1,135,40.54,94.46,0.699703704,3M ESPE TRANSBOND XT SYRINGE  KIT                           
45732,net32,01/04/2019,13020,USA,Pittsburg,KS,3M ESPE,3MD-5904A1(E),4,72.6,43.04,29.56,0.407162534,3M ESPE Z100 SYRINGE A1                                     
45733,net32,01/04/2019,12996,USA,Bentleyville,PA,DENTSPLY,DEN-610007,1,44,22.48,21.52,0.489090909,DENTSPLY IRM IVORY COMPLETE-KIT                             
45734,net32,01/04/2019,13027,USA,Sanger,CA,SDI,SDI-4422202,1,458,340.47,117.53,0.256615721,SDI GS-80 CAPSULES 2 SPILL FAST SET 500/JAR                 
45735,net32,01/04/2019,13003,USA,Allentown,PA,COLTENE WHALEDENT,CWH-UC-32,2,59,28.16,30.84,0.522711864,COLTENE WHALEDENT BIOSONIC ENZYMATIC CLEANER                
45736,net32,01/04/2019,12992,USA,Hyannis,MA,BEAVER,BEA-FG245,1,88,58.96,29.04,0.33,BEAVER BURS FG245 100/PK                                    
45737,net32,01/04/2019,13000,USA,New York,NY,PREMIER(MISC),PRE-9007131,4,96.6,65.08,31.52,0.326293996,PREMIER RC PREP 18G./JAR                                   
45738,net32,01/04/2019,13021,USA,Dallas,TX,3M ESPE,3MD-DLL3,5,100,50.05,49.95,0.4995,3M ESPE TEMP CROWN FORMS NI-CHRO (5/BX)                     
45739,net32,01/04/2019,13026,USA,Plano,TX,KURARAY,KUR-1981-KA,1,91.5,65.03,26.47,0.289289617,KURARAY CLEARFIL SE BOND LIQUID REFILL 5ML                  
45740,net32,01/04/2019,13029,USA,Houston,TX,3M ESPE,3MD-5905A3,1,45,27.98,17.02,0.378222222,3M ESPE Z100 RESTORATIVE CAPSULE A3                         
45741,net32,01/04/2019,13031,USA,Brentwood,CA,DENTSPLY,DEN-605602,1,21.75,8.22,13.53,0.622068966,DENTSPLY JELTRATE-PLUS FAST-SET
45742,net32,01/04/2019,13021,USA,Dallas,TX,3M ESPE,3MD-ELL5,4,80.8,40.28,40.52,0.501485149,3M ESPE TEMP CROWN FORMS NI-CHRO (5/BX)                     
