date,time,type,order id,sku,description,quantity,order city,order state,order postal,product sales,selling fees,fba fees
06-Feb-18,1:24:40 PM PST,Order,112-5715138-6452241,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,Maineville,OH,45039-8216,9.34,-1.4,-2.99
06-Feb-18,2:30:31 PM PST,Order,113-4532872-3167436,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,MARIETTA,GA,30068-1805,9.32,-1.4,-2.99
06-Feb-18,3:31:45 PM PST,Order,111-1358937-6524249,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,CUMMING,GA,30040-2778,9.32,-1.4,-2.99
06-Feb-18,3:38:50 PM PST,Order,114-8442157-8487421,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,SAINT PAUL,MN,55105-3149,9.32,-1.4,-2.99
06-Feb-18,3:40:41 PM PST,Order,113-7630584-7271461,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,O FALLON,MO,63366-3203,9.34,-1.4,-2.99
06-Feb-18,4:46:59 PM PST,Order,111-1793968-0350636,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,Grant Park,Il,60940,9.32,-1.4,-2.99
06-Feb-18,5:09:01 PM PST,Order,113-3778019-2159452,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,SCOTCH PLAINS,NJ,07076-1332,9.32,-1.4,-2.99
06-Feb-18,5:50:35 PM PST,Order,112-7682679-8786662,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,ORO VALLEY,AZ,85737-7250,9.34,-1.4,-8.54
06-Feb-18,5:55:07 PM PST,Order,112-6343909-4819404,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,PLAINFIELD,IN,46168-1659,9.32,-1.4,-2.99
06-Feb-18,6:38:29 PM PST,Order,111-8155081-4405869,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,HATFIELD,PA,19440-1719,9.33,-1.4,-2.99
06-Feb-18,7:43:43 PM PST,Order,111-1867547-2601859,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,MERCED,CA,95340-0696,9.32,-1.4,-2.99
06-Feb-18,8:17:21 PM PST,Order,111-0180490-6819426,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,South Portland,Maine,4106,9.32,-1.4,-2.99
06-Feb-18,8:23:55 PM PST,Order,114-8701554-2865808,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,Great Falls,VA,22066,9.32,-1.4,-2.99
06-Feb-18,8:48:24 PM PST,Order,111-7486258-5321869,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,SOUTH COLBY,WA,98384-0560,9.32,-1.4,-6.37
06-Feb-18,9:44:46 PM PST,Order,114-0085196-5275455,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",2,PARIS,IL,61944-2646,18.4,-2.76,-14.13
06-Feb-18,9:46:55 PM PST,Order,113-6034473-5498662,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",2,Petaluma,Ca,94954,18.64,-2.8,-5.98
06-Feb-18,11:40:59 PM PST,Order,114-3493736-1283465,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,CARMEL,IN,46033-9789,9.32,-1.4,-2.99
07-Feb-18,12:22:34 AM PST,Order,112-8146172-6859434,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,Lincoln,NE,68516,9.32,-1.4,-2.99
07-Feb-18,12:40:42 AM PST,Order,114-9770815-1298607,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,NEWTON,MA,02465-2204,9.3,-1.4,-2.99
07-Feb-18,12:51:59 AM PST,Order,114-7016064-8638644,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,STATESBORO,GA,30458-4812,9.3,-1.4,-2.99
07-Feb-18,1:16:31 AM PST,Order,114-1151042-0529017,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,ORLANDO,FL,32819-4070,9.3,-1.4,-2.99
07-Feb-18,1:21:19 AM PST,Order,113-1774995-9681837,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,LAS VEGAS,NV,89113-4099,9.32,-1.4,-2.99
07-Feb-18,2:28:13 AM PST,Order,112-8657714-8969813,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,BURLINGTON,NC,27217-6401,9.32,-1.4,-2.99
07-Feb-18,2:28:18 AM PST,Order,112-0309705-1823421,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,PLANTATION,FL,33324-2113,9.32,-1.4,-2.99
07-Feb-18,8:13:49 AM PST,Order,111-4689157-4229835,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,odessa,Texas,79761,9.3,-1.4,-2.99
07-Feb-18,8:18:33 AM PST,Order,111-9147126-3461812,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,BAKER,LA,70714-4911,9.3,-1.4,-5.21
07-Feb-18,8:21:38 AM PST,Order,111-4821863-0450654,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,Aurora,CO,80014,9.3,-1.4,-2.99
07-Feb-18,9:15:30 AM PST,Order,111-0542805-4017814,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,BATON ROUGE,LA,70816-2175,9.3,-1.4,-2.99
07-Feb-18,11:30:25 AM PST,Order,111-7903776-4689855,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,ORANGE,CA,92869-1420,9.3,-1.4,-2.99
07-Feb-18,12:22:46 PM PST,Order,112-2190448-6720262,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,KYLE,TX,78640-6038,9.32,-1.4,-2.99
07-Feb-18,12:56:45 PM PST,Order,113-3923919-7344265,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,LOS ANGELES,CA,90033-1830,9.3,-1.4,-2.99
07-Feb-18,1:34:21 PM PST,Order,111-5507743-5362628,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,SAGINAW,TX,76131-1703,9.3,-1.4,-2.99
07-Feb-18,1:51:40 PM PST,Order,112-8841005-1517858,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,ORLANDO,FL,32808-7820,9.3,-1.4,-2.99
07-Feb-18,2:13:02 PM PST,FBA Inventory Fee,,,FBA Inventory Storage Fee,,,,,0,0,0
07-Feb-18,2:20:37 PM PST,Order,113-6516834-4513051,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,GREAT MEADOWS,NJ,07838-2314,9.3,-1.4,-2.99
07-Feb-18,2:24:54 PM PST,Order,114-7153191-7642637,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,MISSION VIEJO,CA,92692-3327,9.3,-1.4,-2.99
07-Feb-18,3:36:40 PM PST,Order,114-5831939-3179447,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,STEVENSVILLE,MD,21666-2950,9.3,-1.4,-5.8
07-Feb-18,3:59:17 PM PST,Order,112-0750912-6586619,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,Groesbeck,TX,76642,9.3,-1.4,-2.99
07-Feb-18,4:48:06 PM PST,Order,112-5131934-6901802,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,LAFAYETTE,CA,94549-2404,9.3,-1.4,-2.99
07-Feb-18,5:05:14 PM PST,Order,111-1067534-8592244,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,FARMINGTON,UT,84025-3825,9.3,-1.4,-2.99
07-Feb-18,7:19:49 PM PST,Order,112-1808360-6036266,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,LAKE CITY,FL,32024-1945,9.3,-1.4,-2.99
07-Feb-18,8:27:55 PM PST,Order,111-2822772-6031412,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",2,Gilbert,AZ,85233,18.6,-2.8,-5.98
07-Feb-18,8:47:37 PM PST,Order,114-7393999-0585044,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,CALDWELL,TX,77836-5494,9.3,-1.4,-2.99
07-Feb-18,8:55:28 PM PST,Order,114-7401114-0437855,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,NEWARK,CA,94560-1738,9.3,-1.4,-2.99
07-Feb-18,10:46:39 PM PST,Order,112-0039396-1413862,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,KISSIMMEE,FL,34747-2100,9.3,-1.4,-2.99
07-Feb-18,11:07:30 PM PST,Order,112-3236284-8869017,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,SUBLIMITY,OR,97385-9781,9.3,-1.4,-2.99
07-Feb-18,11:34:12 PM PST,Order,113-3673600-4208231,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,LOUISVILLE,KY,40222-4618,9.3,-1.4,-2.99
08-Feb-18,12:05:43 AM PST,Order,113-5489393-7458669,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,DORAL,FL,33178-2793,9.3,-1.4,-2.99
08-Feb-18,8:56:17 AM PST,Order,114-3592878-1617809,MDL-NON80328,"Medline Emesis Bags, Blue, 24 Count",1,MCLEAN,VA,22101-3530,9.3,-1.4,-2.99
