date,order id,country,order city,order state,item,quantity,product sales,total cost,profit,return on sales
08-01-2019,702-0385520-0808219,Canada,Gatineau,QC,PRK-01-08,1,14.8,10.46,4.34,0.293243243
08-01-2019,702-1766154-4290609,Canada,North York,ON,PRK-03-08,1,17.9,10.99,6.91,0.38603352
08-01-2019,702-9392110-7915439,Canada,pierrefonds,QC,LUX-NEO185B,1,49.95,38.87,11.08,0.221821822
08-01-2019,701-0389410-7661859,Canada,Sarnia,ON,PRK-03-08,1,13.35,17.8,-4.45,-0.333333333
08-01-2019,701-9889924-9473013,Canada,Coteau-Du-Lac,QC,PRK-01-08,1,14.8,10.46,4.34,0.293243243
08-01-2019,701-5088234-5761021,Canada,Ile-Perrot,QC,PRK-01-08,1,14.8,15.21,-0.41,-0.027702703
08-01-2019,701-5696563-3089046,Canada,Winnipeg,MB,LUX-NEO120B,1,47.01,32.71,14.3,0.304190598
08-01-2019,701-8124164-2757800,Canada,Toronto,ON,PRK-03-08,1,17.9,10.99,6.91,0.38603352
08-01-2019,701-7605426-8902669,Canada,Brampton,ON,PRK-03-08,1,13.35,16.96,-3.61,-0.270411985
08-01-2019,701-2543528-6322644,Canada,Guelph,ON,3MM-1527-1-12,1,17.5,16.1,1.4,0.08
08-01-2019,701-2543528-6322644,Canada,Guelph,ON,3MM-1527-1-12,1,17.5,10.84,6.66,0.380571429
08-01-2019,701-9391646-3517851,Canada,Mississauga,ON,LUX-NEO120B,1,47.01,32.19,14.82,0.315252074
08-01-2019,701-7675969-5981029,Canada,Regina,SK,PRK-01-08,1,14.8,9.99,4.81,0.325
08-01-2019,701-4017418-9808240,Canada,Saskatoon,SK,PRK-01-08,1,14.8,9.99,4.81,0.325
08-01-2019,701-9029854-9439426,Canada,Mervin,SK,3MM-R1547,1,9.7,18.37,-8.67,-0.893814433
08-01-2019,702-2251419-7292258,Canada,Robertville,NB,PRK-01-08,1,13.7,17.72,-4.02,-0.293430657
08-01-2019,701-4149442-9828214,Canada,Shannon,QC,PRK-03-08,1,17.9,10.99,6.91,0.38603352
08-01-2019,701-2359024-1446649,Canada,Sudbury,ON,PRK-01-08,1,14.8,9.99,4.81,0.325
08-01-2019,702-6867642-1965003,Canada,Montréal,QC,PRK-03-08,1,13.35,13.93,-0.58,-0.043445693
08-01-2019,702-2849018-7388264,Canada,Brampton,ON,OMR-BP742N,1,67.9,46.3,21.6,0.318114875
08-01-2019,702-7361864-7717802,Canada,uashat,QC,PRK-01-08,1,14.8,19.3,-4.5,-0.304054054
08-01-2019,702-5949506-8593064,Canada,Britt,ON,PRK-01-08,1,14.8,10.46,4.34,0.293243243
08-01-2019,701-5816591-3481837,Canada,Edmonton,AB,3MM-1624W(20),1,7.44,6.46,0.98,0.13172043
08-01-2019,702-1246339-3781810,Canada,Edmonton,AB,3MM-R1547,1,9.7,18.37,-8.67,-0.893814433
08-01-2019,702-3568149-8689838,Canada,St. Albert,AB,LUX-NEO185B,1,49.95,43.25,6.7,0.134134134
08-01-2019,701-8421168-8558639,Canada,Verdun,QC,3MM-R1547,1,9.7,18.64,-8.94,-0.921649485
08-01-2019,702-5057490-4285025,Canada,Mono,ON,3MM-1626W,1,31,19.73,11.27,0.363548387
08-01-2019,702-5244728-2883422,Canada,Calgary,AB,MOL-295200,1,30,22.34,7.66,0.255333333
08-01-2019,701-3345131-6937062,Canada,Edmonton,AB,LUX-NEO110B,1,33.95,26.7,7.25,0.213549337
08-01-2019,702-9512058-0506667,Canada,Scarborough,ON,OMR-BP742N,1,67.9,46.3,21.6,0.318114875
08-01-2019,702-6416868-3109029,Canada,Toronto,ON,LUX-NEO185B,1,49.95,38.87,11.08,0.221821822
08-01-2019,701-3551695-6093819,Canada,Toronto,ON,OMR-BP742N,1,67.9,46.3,21.6,0.318114875
08-01-2019,701-0513066-5015426,Canada,Toronto,ON,LUX-NEO320B,1,69.85,45.23,24.62,0.352469578
08-01-2019,702-3250400-5525835,Canada,Vankleek Hill,ON,3MM-R1547,2,19.4,36.74,-17.34,-0.893814433
08-01-2019,701-6133006-3429008,Canada,Rosetown,SK,PRK-03-08,1,17.9,10.52,7.38,0.412290503
08-01-2019,701-9422241-2761006,Canada,Grande Prairie,AB,LUX-NEO120B,1,47.01,32.19,14.82,0.315252074
08-01-2019,701-3568637-9639444,Canada,Massey Drive,NL,PRK-12-08,1,17.96,10.82,7.14,0.397550111
08-01-2019,701-0506098-2815444,Canada,Ottawa,ON,LUX-NEO120B,1,47.01,32.71,14.3,0.304190598
08-01-2019,702-8478602-1292234,Canada,OTTAWA,ON,OMR-BP742N,1,67.9,46.3,21.6,0.318114875
08-01-2019,701-3170567-5411421,Canada,Ottawa,ON,OMR-BP742N,1,67.9,46.3,21.6,0.318114875
08-01-2019,701-2658282-1313853,Canada,Gatineau,QC,PRK-01-08,1,13.7,10.3,3.4,0.248175182
08-01-2019,701-0593675-7753007,Canada,North York,ON,OMR-BP742N,1,67.9,46.3,21.6,0.318114875
08-01-2019,701-0321764-4117017,Canada,Toronto,ON,PRK-03-08,1,17.9,10.99,6.91,0.38603352
08-01-2019,702-8556721-1933058,Canada,Kenora,ON,PRK-01-08,1,14.8,14.97,-0.17,-0.011486486
08-01-2019,702-7561318-9629865,Canada,Airdrie,AB,3MM-R1547,1,9.7,18.37,-8.67,-0.893814433
08-01-2019,702-3357260-6706629,Canada,Stoney Creek,ON,PRK-03-08,1,17.9,17.65,0.25,0.01396648
08-01-2019,701-2774609-2509009,Canada,Delta,BC,PRK-03-08,2,35.8,21.04,14.76,0.412290503
08-01-2019,701-1812747-6339436,Canada,Richmond,BC,PRK-03-08,1,17.9,10.52,7.38,0.412290503
08-01-2019,701-8319083-7357845,Canada,Coquitlam,BC,CON-187660,1,20.99,16.1,4.89,0.23296808
09-01-2019,702-9625058-6802641,Canada,Milton,ON,PRK-03-08,1,17.9,18.89,-0.99,-0.055307263
09-01-2019,702-5450889-8289025,Canada,Palgrave,ON,PRK-01-08,1,14.8,10.46,4.34,0.293243243
09-01-2019,702-5827107-5401040,Canada,Blenheim,ON,PRK-03-08,1,17.9,10.99,6.91,0.38603352
09-01-2019,701-5504629-8121816,Canada,Montréal,QC,PRK-01-08,1,14.8,10.46,4.34,0.293243243
09-01-2019,702-0320107-4393071,Canada,Mercier,QC,PRK-01-08,1,14.8,10.46,4.34,0.293243243
09-01-2019,702-3053705-2657804,Canada,Almonte,ON,OMR-BP742N,1,67.9,46.3,21.6,0.318114875
09-01-2019,701-6597162-4721835,Canada,Martensville,SK,PRK-01-08,1,14.8,9.99,4.81,0.325
09-01-2019,701-5067690-0397855,Canada,Chatham,ON,3MM-R1547,1,9.7,18.64,-8.94,-0.921649485
09-01-2019,701-9852686-2010632,Canada,Saint-Antonin,QC,PRK-03-08,1,17.9,10.99,6.91,0.38603352
09-01-2019,701-5883313-2719439,Canada,Fergus,ON,LUX-NEO120B,1,47.01,32.19,14.82,0.315252074
09-01-2019,702-5251232-5986657,Canada,Sherbrooke,QC,PRK-03-08,1,17.9,10.99,6.91,0.38603352
09-01-2019,701-7999724-8743434,Canada,Halifax,NS,LUX-NEO185B,1,49.95,38.35,11.6,0.232232232
09-01-2019,701-6749684-6383423,Canada,Sarnia,ON,PRK-01-08,1,14.8,17.88,-3.08,-0.208108108
09-01-2019,701-7632261-8051402,Canada,Pembroke,ON,PRK-01-08,1,14.8,10.46,4.34,0.293243243
09-01-2019,701-8593677-6966601,Canada,Thunder Bay,ON,PRK-03-08,1,17.9,10.99,6.91,0.38603352
09-01-2019,701-6953451-9401825,Canada,Quebec,QC,PRK-01-08,1,14.8,9.99,4.81,0.325
09-01-2019,701-7184736-2153057,Canada,Stittsville,ON,PRK-01-08,1,14.8,10.46,4.34,0.293243243
09-01-2019,701-1183536-9201030,Canada,Ottawa,ON,OMR-BP742N,1,67.9,46.3,21.6,0.318114875
09-01-2019,702-2955744-9544243,Canada,Saint-Laurent,QC,PRK-03-08,1,17.9,10.99,6.91,0.38603352
09-01-2019,702-9116800-3750632,Canada,Carleton Place,ON,OMR-BP742N,1,67.9,46.3,21.6,0.318114875
09-01-2019,701-7427444-5177008,Canada,Dundas,ON,MOL-295300,2,64,37.86,26.14,0.4084375
09-01-2019,702-2497486-2043462,Canada,Paris,ON,PRK-01-08,1,14.8,10.46,4.34,0.293243243
09-01-2019,702-0835674-3749839,Canada,Calgary,AB,3MM-R1547,1,9.7,18.37,-8.67,-0.893814433
09-01-2019,702-0439747-4472263,Canada,Calgary,AB,3MM-R1547,5,48.5,91.84,-43.34,-0.893608247
09-01-2019,701-5197279-5481000,Canada,Calgary,AB,MOL-295300,1,32,18.66,13.34,0.416875
09-01-2019,702-2703034-1488206,Canada,Calgary,AB,PRK-01-08,1,14.8,9.99,4.81,0.325
09-01-2019,702-0168416-2832278,Canada,Calgary,AB,PRK-01-08,1,14.8,9.99,4.81,0.325
